Financial Instrument,Body
Options,"Buying puts on the market, I think a correction is coming."
Futures,"Corn futures look cheap, might be a good entry point."
Mutual Fund,Exit loads on mutual funds are a pain if you need liquidity.
Commodities,Gold is a safe haven when the dollar is weakening.
ETF,S&P 500 ETFs like VOO are the safest bet for long term.
CDS,CDS is basically insurance for bondholders.
Cryptocurrency,Solana is fast but the network outages are a major red flag.
Cryptocurrency,"Bitcoin is the new digital gold, HODL till 100k."
Commodities,Natural gas volatility is off the charts this winter.
CDS,CDS spreads on Credit Suisse were a huge warning sign.
Mutual Fund,Active mutual funds rarely beat their benchmarks over time.
Mutual Fund,My 401k is mostly in Vanguard mutual funds.
Mutual Fund,Exit loads on mutual funds are a pain if you need liquidity.
Swap,Credit default swaps spreads are widening for regional banks.
Futures,The contango in VIX futures is insane right now.
ETF,VTI and chill is my retirement strategy.
FX,GBP is looking strong after the latest economic data.
Options,"Buying puts on the market, I think a correction is coming."
REIT,Residential REITs are benefiting from the housing shortage.
Options,Sold some covered calls on my AMC position to lower cost basis.
CDS,CDS spreads on Credit Suisse were a huge warning sign.
Options,Sold some covered calls on my AMC position to lower cost basis.
Futures,Trading ES futures is much better than SPY for leverage.
Warrant,Warrant dilution is a real concern for long-term shareholders.
REIT,Commercial real estate REITs are a ticking time bomb.
FX,EUR/USD is testing the 1.08 support level again.
Options,Iron condors on SPY have been working well this month.
Mutual Fund,Exit loads on mutual funds are a pain if you need liquidity.
Warrant,Company issued warrants to sweeten the bond offering.
Structured Product,Reverse convertibles offer high yields but high downside risk.
FX,"Forex trading is a zero-sum game, stick to indices."
CDS,CDS spreads on Credit Suisse were a huge warning sign.
Futures,"Corn futures look cheap, might be a good entry point."
Equity,"Penny stocks are a gamble, I lost $5k on some biotech firm."
Equity,"Penny stocks are a gamble, I lost $5k on some biotech firm."
Structured Product,Reverse convertibles offer high yields but high downside risk.
CDS,The counterparty risk in the CDS market is underestimated.
Structured Product,Reverse convertibles offer high yields but high downside risk.
Mutual Fund,My 401k is mostly in Vanguard mutual funds.
Options,"0DTE options are basically a casino, stay away."
Bonds,Corporate bonds are offering better yields than most savings accounts.
Commodities,Investing in physical silver is the only way to play the squeeze.
FX,EUR/USD is testing the 1.08 support level again.
Structured Product,Principal protected notes are for people who hate risk.
REIT,Residential REITs are benefiting from the housing shortage.
Options,Iron condors on SPY have been working well this month.
Structured Product,The complexity of these notes makes it hard to price correctly.
Swap,Total return swaps are being used by hedge funds for hidden leverage.
Equity,"Apple looks overvalued at these levels, waiting for a dip."
Bonds,Municipal bonds are great for tax-free income if you're in a high bracket.
Mutual Fund,Stop paying 1% management fees for a closet indexer.
Equity,"Tesla's margins are getting squeezed, I'm bearish."
FX,"Forex trading is a zero-sum game, stick to indices."
Structured Product,Reverse convertibles offer high yields but high downside risk.
REIT,The 7% dividend yield on this REIT looks too good to be true.
CDS,CDS is basically insurance for bondholders.
Commodities,Investing in physical silver is the only way to play the squeeze.
Futures,Margin calls on Nasdaq futures destroyed my account.
ETF,The expense ratio on this thematic ETF is way too high.
FX,GBP is looking strong after the latest economic data.
Warrant,Company issued warrants to sweeten the bond offering.
ETF,The expense ratio on this thematic ETF is way too high.
Structured Product,Principal protected notes are for people who hate risk.
Equity,"I'm long on MSFT, dividends are consistent and growth is there."
Futures,Oil futures are spiking due to geopolitical tensions.
Equity,"I'm long on MSFT, dividends are consistent and growth is there."
ETF,I'm switching from QQQ to SCHD for more dividend exposure.
Swap,Credit default swaps spreads are widening for regional banks.
FX,EUR/USD is testing the 1.08 support level again.
Equity,"Penny stocks are a gamble, I lost $5k on some biotech firm."
Futures,Oil futures are spiking due to geopolitical tensions.
Structured Product,Market-linked CDs are just structured products in disguise.
Cryptocurrency,Ethereum's gas fees are still too high for small transactions.
ETF,I'm switching from QQQ to SCHD for more dividend exposure.
Mutual Fund,Active mutual funds rarely beat their benchmarks over time.
Mutual Fund,Stop paying 1% management fees for a closet indexer.
REIT,Data center REITs like Equinix are the backbone of the internet.
Options,Sold some covered calls on my AMC position to lower cost basis.
Mutual Fund,Exit loads on mutual funds are a pain if you need liquidity.
Bonds,10-year Treasury yields are hitting levels we haven't seen in a decade.
Structured Product,Market-linked CDs are just structured products in disguise.
Structured Product,Reverse convertibles offer high yields but high downside risk.
Futures,The contango in VIX futures is insane right now.
Bonds,"Bond prices fall when interest rates rise, simple math."
ETF,The expense ratio on this thematic ETF is way too high.
Bonds,Corporate bonds are offering better yields than most savings accounts.
Swap,The company entered into a currency swap to hedge debt exposure.
FX,The Fed's hawkish stance is pumping the DXY.
Commodities,Investing in physical silver is the only way to play the squeeze.
Equity,"Tesla's margins are getting squeezed, I'm bearish."
Bonds,Municipal bonds are great for tax-free income if you're in a high bracket.
FX,Jena weakness is hurting my carry trade.
CDS,The counterparty risk in the CDS market is underestimated.
REIT,Commercial real estate REITs are a ticking time bomb.
Cryptocurrency,CBDCs are coming and they will kill privacy in crypto.
Equity,"I'm long on MSFT, dividends are consistent and growth is there."
Warrant,Warrant dilution is a real concern for long-term shareholders.
FX,"Forex trading is a zero-sum game, stick to indices."
REIT,The 7% dividend yield on this REIT looks too good to be true.
FX,GBP is looking strong after the latest economic data.
